instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed,reduceTini
airport90,0.789474,0.833539,0.359815,1.193354,101409,7511,27478,27478,0
airport84,+Inf,0.531981,0.053086,0.585067,65052,6022,22242,22242,1
airport82,+Inf,0.580132,0.048961,0.629093,72234,6426,23824,23824,1
airport7,2.232392,0.721063,0.566402,1.287465,82136,6841,25689,25689,1
airport86,+Inf,0.643241,0.073101,0.716342,78371,6842,26343,26343,1
airport97,+Inf,0.265921,0.035437,0.301358,31293,3924,14681,14681,0
airport93,+Inf,0.760901,0.058288,0.819189,93263,6863,24885,24885,0
airport76,8.222796,0.691461,1.014227,1.705688,88071,7091,26287,26287,2
airport85,+Inf,0.938627,0.080298,1.018925,116144,8410,31026,31026,1
airport94,+Inf,0.879678,0.059244,0.938922,111285,8291,30819,30819,0
airport96,+Inf,0.393797,0.037903,0.431700,47539,4434,15452,15452,0
airport95,1.473684,0.500659,0.197396,0.698055,63944,5582,20464,20464,0
airport83,1.401896,0.723813,0.497474,1.221287,90000,7059,25684,25684,1
airport87,+Inf,0.342606,0.051171,0.393777,40514,5440,21840,21840,1
airport7,+Inf,0.704423,0.059744,0.764167,82164,6869,25731,25731,2
airport99,+Inf,0.477182,0.043029,0.520211,57411,5124,18149,18149,0
airport80,+Inf,0.529696,0.072280,0.601976,62467,5560,20071,20071,2
airport81,1.157895,0.436816,0.186884,0.623700,47493,4777,17056,17056,2
airport98,+Inf,0.712943,0.058909,0.771852,89380,7841,30255,30255,0
airport79,0.421053,0.745427,0.511021,1.256448,97592,8910,35274,35274,2
airport82,+Inf,0.585205,0.068326,0.653531,72264,6456,23869,23869,2
airport84,+Inf,0.546446,0.054601,0.601047,65084,6054,22290,22290,2
airport88,+Inf,0.687109,0.075992,0.763101,84778,7145,26924,26924,1
airport91,+Inf,0.388186,0.041513,0.429699,47643,4775,17441,17441,1
airport86,+Inf,0.644550,0.075783,0.720333,78395,6866,26379,26379,2
airport83,1.296689,0.743651,0.537131,1.280782,90030,7089,25729,25729,2
airport8,3.045113,0.624428,0.262940,0.887368,75837,5988,21668,21668,1
airport92,+Inf,0.463355,0.046490,0.509845,56815,4975,17515,17515,1
airport97,+Inf,0.274081,0.037273,0.311354,31315,3946,14714,14714,1
airport9,+Inf,0.694424,0.062420,0.756844,86734,6989,25987,25987,0
airport90,0.578947,0.900371,0.390297,1.290668,101439,7541,27523,27523,1
airport85,+Inf,0.936171,0.076599,1.012770,116174,8440,31071,31071,2
airport95,1.526316,0.519676,0.227925,0.747601,63972,5610,20506,20506,1
airport87,+Inf,0.357117,0.052868,0.409985,40548,5474,21891,21891,2
airport93,+Inf,0.781483,0.062040,0.843523,93295,6895,24933,24933,1
airport96,+Inf,0.399943,0.051247,0.451190,47569,4464,15497,15497,1
airport94,0.263158,1.027479,0.519018,1.546497,111313,8319,30861,30861,1
airport91,+Inf,0.397602,0.043008,0.440610,47677,4809,17492,17492,2
airport88,+Inf,0.755773,0.066926,0.822699,84808,7175,26969,26969,2
airport99,+Inf,0.623338,0.046941,0.670279,57443,5156,18197,18197,1
airport92,+Inf,0.575071,0.057174,0.632245,56849,5009,17566,17566,2
airport8,3.097744,0.797047,0.454089,1.251136,75873,6024,21722,21722,2
airport90,0.368421,0.908617,0.604020,1.512637,101469,7571,27568,27568,2
airport98,+Inf,0.729016,0.063411,0.792427,89404,7865,30291,30291,1
airport95,1.578947,0.504832,0.257424,0.762256,64002,5640,20551,20551,2
airport97,+Inf,0.274120,0.049388,0.323508,31341,3972,14753,14753,2
airport93,+Inf,0.821195,0.074840,0.896035,93331,6931,24987,24987,2
airport94,0.157895,0.921181,0.553021,1.474202,111339,8345,30900,30900,2
airport96,+Inf,0.406005,0.051830,0.457835,47601,4496,15545,15545,2
airport9,+Inf,0.721223,0.062339,0.783562,86766,7021,26035,26035,1
airport99,+Inf,0.478982,0.044375,0.523357,57475,5188,18245,18245,2
airport98,+Inf,0.728646,0.073329,0.801975,89428,7889,30327,30327,2
airport9,+Inf,0.680184,0.086301,0.766485,86800,7055,26086,26086,2
grid11,+Inf,3.029066,0.089943,3.119009,363259,12474,46110,46110,0
grid14,+Inf,1.619494,0.075460,1.694954,196503,7465,25349,25349,0
grid15,6.854637,1.945631,0.509263,2.454894,227548,8202,28200,28200,0
grid0,2.473684,2.861102,0.982562,3.843664,352401,11423,41355,41355,0
grid12,+Inf,3.424239,0.120843,3.545082,410828,13938,52051,52051,0
grid10,1.341689,3.585212,1.280251,4.865463,437833,14375,53699,53699,0
grid13,+Inf,2.302479,0.079358,2.381837,293181,10913,39904,39904,0
grid18,+Inf,1.867073,0.085973,1.953046,235035,8845,30418,30418,0
grid0,1.835526,2.824057,0.740766,3.564823,352453,11475,41433,41433,1
grid11,+Inf,3.038003,0.105278,3.143281,363307,12522,46182,46182,1
grid15,6.433584,1.886513,0.455640,2.342153,227604,8258,28284,28284,1
grid10,0.973268,3.565102,1.044419,4.609521,437877,14419,53765,53765,1
grid0,2.105263,2.850941,1.022244,3.873185,352507,11529,41514,41514,2
grid12,+Inf,3.389501,0.129633,3.519134,410878,13988,52126,52126,1
grid11,+Inf,3.235895,0.105204,3.341099,363359,12574,46260,46260,2
grid14,+Inf,1.557798,0.065470,1.623268,196557,7519,25430,25430,1
grid13,+Inf,2.336482,0.094981,2.431463,293235,10967,39985,39985,1
grid18,+Inf,1.904628,0.086860,1.991488,235077,8887,30481,30481,1
grid17,+Inf,3.774339,0.148678,3.923017,439838,15147,57708,57708,0
