instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed
grid79nDr0nDe2,1.864662,3.223389,0.665968,3.889357,408353,14084,28997,28997
grid78nDr0nDe2,6.802005,2.807646,3.310347,6.117993,365670,13588,27971,27971
grid79nDr1nDe1,5.751880,2.070311,0.623406,2.693717,257846,10323,20587,20587
grid79nDr0nDe3,7.260652,3.003972,0.533915,3.537887,369038,13250,27118,27118
grid78nDr0nDe3,8.365915,2.846346,3.076617,5.922963,365676,13592,27977,27977
grid7nDr1nDe1,6.152882,1.227370,0.250584,1.477954,155799,6423,12240,12240
metroplex55nDr0nDe1,1.418546,4.412098,1.404328,5.816426,542817,13161,48873,48873
grid81nDr0nDe3,13.135338,0.497021,0.052811,0.549832,62888,3001,5312,5312
grid81nDr0nDe2,12.994987,0.975592,0.117919,1.093511,117400,4925,9303,9303
metroplex55nDr1nDe0,2.157895,4.247189,1.482496,5.729685,530513,12779,47623,47623
metroplex56nDr0nDe1,4.431078,1.964088,0.215577,2.179665,244962,6453,21257,21257
grid80nDr1nDe0,2.315789,2.331039,0.413045,2.744084,290714,11554,23370,23370
metroplex55nDr1nDe1,2.378446,3.209818,1.043092,4.252910,378406,10175,36902,36902
grid80nDr0nDe1,3.766917,2.959845,0.364793,3.324638,351232,13096,26936,26936
grid81nDr1nDe1,5.684211,2.161424,0.390402,2.551826,275044,10423,21177,21177
metroplex56nDr1nDe0,2.157895,1.654820,0.255737,1.910557,192461,5358,16851,16851
grid81nDr1nDe0,1.894737,2.981793,0.485658,3.467451,369297,13291,27510,27510
grid80nDr1nDe1,5.869674,2.911629,0.641322,3.552951,369586,13831,28509,28509
grid80nDr0nDe3,1.634085,3.218699,1.186391,4.405090,399588,14867,30573,30573
metroplex54nDr0nDe3,14.604010,4.779305,7.106616,11.885921,590415,12788,46367,46367
metroplex56nDr1nDe1,4.839599,1.739671,0.291850,2.031521,221663,5966,19193,19193
grid81nDr0nDe1,6.686717,3.417725,2.063192,5.480917,437914,15021,31317,31317
grid82nDr1nDe0,2.052632,1.979718,0.274976,2.254694,253236,9070,18060,18060
grid82nDr0nDe1,11.536341,3.062459,0.631135,3.693594,391330,13234,27403,27403
metroplex56nDr0nDe2,9.335840,2.344016,0.481203,2.825219,294849,7708,26423,26423
metroplex56nDr0nDe3,9.441103,2.401533,0.964047,3.365580,303796,7880,27013,27013
grid82nDr0nDe2,12.822055,3.080336,0.862093,3.942429,391336,13238,27409,27409
grid82nDr1nDe1,2.586466,1.730170,0.286596,2.016766,202098,7818,15255,15255
metroplex57nDr0nDe1,9.481203,2.554175,0.653876,3.208051,321265,8013,27553,27553
grid80nDr0nDe2,17.110276,3.155815,2.973094,6.128909,399418,14713,30342,30342
metroplex57nDr1nDe1,2.949875,0.585630,0.053720,0.639350,73184,2481,6382,6382
metroplex57nDr1nDe0,1.578947,2.475379,0.404533,2.879912,295413,7451,25178,25178
metroplex58nDr1nDe0,2.789474,1.273810,0.174464,1.448274,157896,4830,14951,14951
grid83nDr1nDe0,1.894737,2.203635,0.318099,2.521734,272848,11108,22404,22404
metroplex58nDr0nDe1,3.411028,1.503338,0.280067,1.783405,184228,5750,18450,18450
grid83nDr0nDe1,4.408521,3.039599,2.423552,5.463151,378718,14287,29484,29484
metroplex58nDr0nDe2,4.010025,2.043062,0.422495,2.465557,251719,7097,23458,23458
grid82nDr0nDe3,13.192982,3.325092,3.156177,6.481269,421640,13996,29108,29108
grid83nDr1nDe1,2.075188,2.749230,0.352789,3.102019,331535,13021,26754,26754
metroplex59nDr0nDe2,4.230576,0.585437,0.063272,0.648709,73279,2610,7148,7148
grid84nDr1nDe0,1.315789,2.354410,0.396361,2.750771,297824,11779,23873,23873
metroplex58nDr0nDe3,6.614035,1.648572,0.528943,2.177515,205516,6141,19796,19796
metroplex58nDr1nDe1,2.208020,1.627680,0.350622,1.978302,205504,6133,19782,19782
grid84nDr0nDe2,4.095238,2.857420,0.571065,3.428485,360354,13200,27145,27145
grid83nDr0nDe2,9.152882,3.073294,1.898178,4.971472,388524,14480,29918,29918
grid84nDr0nDe1,4.654135,3.398562,1.084336,4.482898,419662,14338,29841,29841
metroplex59nDr1nDe1,3.438596,0.653928,0.063541,0.717469,73273,2606,7140,7140
grid84nDr1nDe1,6.689223,2.277186,0.479459,2.756645,273624,10907,22029,22029
grid85nDr0nDe3,12.796992,0.502136,0.055874,0.558010,62804,3135,5540,5540
grid83nDr0nDe3,5.864662,3.167437,2.487010,5.654447,398518,14678,30321,30321
metroplex59nDr0nDe1,3.809524,2.750094,0.513057,3.263151,326025,7787,26761,26761
grid85nDr1nDe1,3.583960,0.500871,0.056583,0.557454,62792,3127,5526,5526
metroplex57nDr0nDe2,12.759398,3.401821,1.297890,4.699711,428267,10120,36159,36159
metroplex59nDr0nDe3,6.847118,0.865839,0.130165,0.996004,107440,3448,9806,9806
grid86nDr0nDe2,2.754386,0.876181,0.097197,0.973378,101135,4693,8624,8624
metroplex59nDr1nDe0,2.947368,2.585845,0.526780,3.112625,325977,7741,26690,26690
metroplex5nDr0nDe1,14.431078,1.222087,0.383706,1.605793,153200,4703,14763,14763
grid86nDr1nDe1,8.208020,0.734648,0.088739,0.823387,91308,4244,7763,7763
metroplex4nDr0nDe2,21.874687,4.558644,6.220978,10.779622,564881,12605,45422,45422
metroplex5nDr1nDe0,2.157895,0.835586,0.097775,0.933361,107226,3530,10415,10415
grid84nDr0nDe3,8.892231,3.289443,0.693806,3.983249,419806,14472,30042,30042
grid85nDr0nDe1,4.152882,3.230973,0.974688,4.205661,413341,13925,28683,28683
grid85nDr1nDe0,0.789474,3.201087,0.510355,3.711442,413181,13779,28462,28462
metroplex60nDr0nDe2,10.170426,0.359737,0.052511,0.412248,45815,1804,4480,4480
metroplex55nDr0nDe3,10.884712,4.401413,4.259586,8.660999,542829,13169,48885,48885
grid86nDr1nDe0,3.263158,2.338507,0.302128,2.640635,301641,10236,20580,20580
metroplex5nDr1nDe1,9.892231,1.304839,0.249097,1.553936,153200,4703,14761,14761
grid87nDr0nDe1,13.754386,2.113279,0.679556,2.792835,268666,10066,20291,20291
metroplex55nDr0nDe2,9.350877,4.394970,7.764412,12.159382,542885,13219,48960,48960
grid86nDr0nDe1,4.491228,3.169041,0.485546,3.654587,382854,12182,24990,24990
grid86nDr0nDe3,16.912281,2.178263,0.968708,3.146971,276548,9622,19182,19182
metroplex5nDr0nDe2,4.551378,2.491340,0.662708,3.154048,315303,7921,27195,27195
metroplex61nDr0nDe1,7.892231,0.733161,0.089432,0.822593,92134,2991,8421,8421
metroplex60nDr1nDe1,4.583960,1.516801,0.249566,1.766367,192765,5216,16342,16342
grid87nDr0nDe2,11.228070,2.798439,1.138128,3.936567,355404,12690,25993,25993
grid87nDr1nDe0,2.473684,1.975128,0.377455,2.352583,253139,9495,19044,19044
metroplex61nDr1nDe0,3.052632,0.471193,0.051570,0.522763,60993,2243,5885,5885
grid87nDr0nDe3,14.463659,2.785378,0.766787,3.552165,355410,12694,25999,25999
metroplex61nDr1nDe1,2.328321,0.362181,0.051804,0.413985,36555,1632,4324,4324
metroplex60nDr1nDe0,2.263158,2.606991,0.445885,3.052876,323517,7990,26990,26990
metroplex57nDr0nDe3,11.330827,2.963383,1.155034,4.118417,358171,8790,30709,30709
metroplex61nDr0nDe2,11.924812,0.830516,0.331971,1.162487,102385,3230,9248,9248
grid87nDr1nDe1,2.706767,2.266743,0.275599,2.542342,284997,10506,21249,21249
grid85nDr0nDe2,6.310777,3.206744,3.791140,6.997884,413405,13979,28764,28764
metroplex62nDr1nDe1,5.771930,0.590732,0.081767,0.672499,72323,3538,11495,11495
grid88nDr0nDe1,1.771930,3.264147,0.470864,3.735011,422488,14460,30143,30143
metroplex60nDr0nDe1,4.426065,3.517604,1.056837,4.574441,454722,10450,37354,37354
metroplex61nDr0nDe3,12.629073,0.422071,0.058393,0.480464,53480,2006,5267,5267
grid88nDr1nDe0,1.421053,3.115932,0.444951,3.560883,391970,13720,28495,28495
metroplex5nDr0nDe3,5.837093,3.589754,1.753328,5.343082,433096,10086,36014,36014
grid88nDr1nDe1,2.343358,2.880134,0.354783,3.234917,353521,12887,26559,26559
metroplex62nDr0nDe1,5.581454,2.431673,1.043211,3.474884,300940,9186,32841,32841
metroplex62nDr1nDe0,2.210526,2.443205,0.611219,3.054424,300934,9182,32833,32833
grid88nDr0nDe2,4.834586,3.340220,2.107701,5.447921,422582,14544,30269,30269
grid89nDr1nDe0,0.315789,3.356720,0.847536,4.204256,435642,13993,29208,29208
