instance,resultFixed,elapsedTimeFixed,totalSolveTimeFixed,totalTimeFixed,nvarsFixed,snvarsFixed,nconsFixed,snconsFixed,reduceTini
metroplex65,1012.308271,14.890733,8.376520,23.267253,22682,22534,84180,84180,0
metroplex33,1011.894441,12.863352,18.287826,31.151178,20912,20762,77971,77971,0
metroplex21,2013.741855,12.622134,76.309929,88.932063,18864,18724,70297,70297,0
metroplex85,2.052632,15.302637,4.621581,19.924218,21152,21016,79710,79710,0
metroplex83,3.157895,7.444840,3.903739,11.348579,18466,18334,68128,68128,0
metroplex66,1012.365915,12.845738,7.276429,20.122167,19024,18882,69762,69762,0
metroplex54,1001.210526,16.375430,8.184116,24.559546,22040,21860,81051,81051,0
metroplex62,9.862155,12.494174,27.156158,39.650332,21784,21646,83144,83144,0
metroplex22,1004.080201,6.806199,10.823841,17.630040,22170,22000,83609,83609,0
metroplex96,2.052632,14.788008,5.789821,20.577829,19864,19710,73174,73174,0
metroplex73,2.070175,10.875378,8.012598,18.887976,19824,19682,74377,74377,0
metroplex86,1007.027569,9.700000,4.781894,14.481894,18610,18484,68903,68903,0
metroplex88,8.844612,10.067587,13.088657,23.156244,19682,19534,73704,73704,0
metroplex77,7.511278,10.554498,21.659214,32.213712,20066,19898,75117,75117,0
metroplex93,1.157895,9.293932,10.628394,19.922326,19686,19540,73670,73670,0
metroplex89,3.110276,13.451599,6.156756,19.608355,18924,18766,70262,70262,0
metroplex98,7.205514,7.453728,4.865381,12.319109,17264,17138,63953,63953,0
metroplex58,5007.972431,9.551826,10.712882,20.264708,21418,21272,81077,81077,0
metroplex9,0.052632,7.911219,4.667111,12.578330,19786,19630,73624,73624,0
metroplex97,1003.102757,7.560124,3.583423,11.143547,18310,18178,67927,67927,0
metroplex99,1.210526,7.629126,3.003462,10.632588,18002,17862,66795,66795,0
metroplex1,4003.814536,9.832675,7.915111,17.747786,21894,21742,81734,81734,0
metroplex79,4.157895,9.041781,9.395529,18.437310,19926,19774,75834,75834,0
metroplex84,6008.265664,10.797187,5.398010,16.195197,20094,19944,73956,73956,0
metroplex81,1006.639098,9.169423,6.107337,15.276760,19946,19798,74784,74784,0
metroplex74,1009.478697,7.369922,4.558332,11.928254,19348,19228,73068,73068,0
metroplex91,4.947368,8.775376,4.749992,13.525368,20924,20784,78986,78986,0
metroplex92,2011.932331,7.334814,10.850421,18.185235,18346,18220,68251,68251,0
metroplex80,2.265664,8.612212,7.183300,15.795512,21014,20840,77368,77368,0
metroplex76,3014.877193,4.514454,4.887912,9.402366,20184,20038,74974,74974,0
metroplex8,2010.235589,4.778844,6.645218,11.424062,21358,21194,79318,79318,0
metroplex75,1013.954887,8.691395,6.419651,15.111046,18528,18380,67816,67816,0
metroplex95,3007.809524,4.574740,6.133630,10.708370,19854,19714,73430,73430,0
metroplex7,1009.939850,7.884628,6.699604,14.584232,18734,18592,69727,69727,0
metroplex94,1002.210526,8.688147,1.427380,10.115527,20522,20382,76476,76476,0
metroplex82,10.561404,4.353661,6.632404,10.986065,20770,20606,77796,77796,0
metroplex72,1016.741855,3.993587,14.277346,18.270933,20214,20074,77302,77302,0
metroplex55,4.235589,8.016980,6.428955,14.445935,21612,21470,82783,82783,0
metroplex90,1019.042607,7.863790,27.723531,35.587321,18450,18324,69103,69103,0
metroplex87,2016.278195,7.977585,56.979061,64.956646,18230,18064,67660,67660,0
metroplex46,1015.353383,9.062191,49.212817,58.275008,21322,21150,80265,80265,0
airport32,1001.105263,1.202069,1.455598,2.657667,12708,12648,44704,44704,1
airport30,1001.368421,1.124995,1.257606,2.382601,12344,12292,43758,43758,1
airport22,1001.157895,1.248677,2.532664,3.781341,14022,13962,50884,50884,1
airport26,1001.736842,1.499216,2.225667,3.724883,14418,14360,51851,51851,1
airport2,1001.315789,2.212502,1.629789,3.842291,12906,12850,45851,45851,1
airport44,1001.105263,1.186490,1.247783,2.434273,11602,11544,39941,39941,1
airport23,1.210526,1.037046,2.113871,3.150917,11826,11772,42002,42002,1
airport43,1001.210526,1.195426,1.398017,2.593443,12632,12582,45116,45116,1
airport38,1.105263,1.211882,2.474471,3.686353,11980,11918,41625,41625,1
airport51,1.526316,1.487284,1.280110,2.767394,13068,13014,46561,46561,1
airport40,1.210526,1.085423,1.561785,2.647208,13304,13246,47838,47838,1
airport3,1001.315789,1.484995,1.487311,2.972306,13556,13500,48603,48603,1
airport37,0.333333,1.804761,2.445662,4.250423,13148,13078,46068,46068,1
airport10,3.220551,1.396758,3.177395,4.574153,14200,14140,51383,51383,1
airport20,2.776942,1.500521,3.496097,4.996618,13696,13614,48184,48184,1
airport42,1001.473684,1.858249,1.590312,3.448561,11488,11434,39996,39996,1
airport27,1001.315789,2.252760,1.750160,4.002920,13712,13650,48759,48759,1
airport15,1000.000000,2.474162,2.977510,5.451672,14474,14420,53313,53313,1
airport13,1001.368421,1.432389,2.677337,4.109726,14080,14020,50581,50581,1
airport4,1001.157895,1.342595,1.647051,2.989646,13664,13604,48926,48926,1
airport33,2001.105263,1.369920,3.254167,4.624087,14910,14834,53305,53305,1
airport19,1001.526316,1.180312,2.645176,3.825488,13186,13132,47460,47460,1
airport36,1.105263,1.259421,3.785561,5.044982,13734,13666,49030,49030,1
airport47,1.684211,1.418894,3.002831,4.421725,14770,14714,54623,54623,1
airport24,6001.578947,1.206583,1.977805,3.184388,13718,13666,50008,50008,1
airport18,1.473684,1.321174,2.801930,4.123104,13492,13430,48161,48161,1
